ID;Coil;Prozessabfolge;Ausklinkungen;Richten
2220;C1E;links - halten, rechts;aktiviert;deaktiviert
2221;C1E;links - halten, rechts;aktiviert;deaktiviert
2222;C1E;links - halten, rechts;aktiviert;deaktiviert
2223;C1E;links - halten, rechts;aktiviert;deaktiviert
2224;C1E;links - halten, rechts;aktiviert;deaktiviert
2225;C1E;links - halten, rechts;aktiviert;deaktiviert
2226;C1E;links - halten, rechts;aktiviert;aktiviert
2227;C1E;links - halten, rechts;aktiviert;aktiviert
2228;C1E;links - halten, rechts;aktiviert;aktiviert
2229;C1E;links - halten, rechts;aktiviert;aktiviert
2230;C1E;links - halten, rechts;aktiviert;aktiviert
2231;C1E;links - halten, rechts;aktiviert;aktiviert
2232;C1E;links - halten, rechts;aktiviert;aktiviert
2233;C1E;links - halten, rechts;aktiviert;aktiviert
2234;C1E;links - halten, rechts;aktiviert;aktiviert
2235;C1E;links - halten, rechts;aktiviert;aktiviert
2236;C1E;links - halten, rechts;aktiviert;aktiviert
2237;C1E;links - halten, rechts;aktiviert;aktiviert
2238;C1E;links - halten, rechts;aktiviert;aktiviert
2239;C1E;links - halten, rechts;aktiviert;aktiviert
2240;C1E;links - halten, rechts;aktiviert;aktiviert
2241;C1E;links - halten, rechts;aktiviert;aktiviert
2242;C1E;links - halten, rechts;aktiviert;aktiviert
2243;C1E;links - halten, rechts;aktiviert;aktiviert
2244;C1E;links - halten, rechts;aktiviert;aktiviert
2245;C1E;links - halten, rechts;aktiviert;aktiviert
2246;C1E;links - halten, rechts;aktiviert;aktiviert
2247;C1E;links - halten, rechts;aktiviert;aktiviert
