ID;Coil;Prozessabfolge;Ausklinkungen;Richten
1827;C1E;rechts, links;deaktiviert;aktiviert
1828;C1E;rechts, links;deaktiviert;aktiviert
1829;C1E;rechts, links;deaktiviert;aktiviert
1830;C1E;rechts, links;deaktiviert;aktiviert
1831;C1E;rechts, links;deaktiviert;aktiviert
1832;C1E;rechts, links;deaktiviert;aktiviert
1833;C1E;rechts, links;deaktiviert;aktiviert
1834;C1E;rechts, links;deaktiviert;aktiviert
1835;C1E;rechts, links;deaktiviert;aktiviert
1836;C1E;rechts, links;deaktiviert;aktiviert
1837;C1E;rechts, links;deaktiviert;aktiviert
1838;C1E;rechts, links;deaktiviert;aktiviert
1839;C1E;rechts, links;deaktiviert;aktiviert
1840;C1E;rechts, links;deaktiviert;aktiviert
1841;C1E;rechts, links;deaktiviert;aktiviert
1842;C1E;rechts, links;deaktiviert;aktiviert
1843;C1E;rechts, links;deaktiviert;aktiviert
1844;C1E;rechts, links;deaktiviert;aktiviert
1845;C1E;rechts, links;deaktiviert;aktiviert
1846;C1E;rechts, links;deaktiviert;aktiviert
1847;C1E;rechts, links;deaktiviert;aktiviert
1848;C1E;rechts, links;deaktiviert;aktiviert
1849;C1E;rechts, links;deaktiviert;aktiviert
1850;C1E;rechts, links;deaktiviert;aktiviert
1851;C1E;links, rechts;deaktiviert;aktiviert
1852;C1E;links, rechts;deaktiviert;aktiviert
1853;C1E;links, rechts;deaktiviert;aktiviert
1854;C1E;links, rechts;deaktiviert;aktiviert
1855;C1E;links, rechts;deaktiviert;aktiviert
1856;C1E;links, rechts;deaktiviert;aktiviert
1857;C1E;links, rechts;deaktiviert;aktiviert
1858;C1E;links, rechts;deaktiviert;aktiviert
1859;C1E;links, rechts;deaktiviert;aktiviert
1860;C1E;links, rechts;deaktiviert;aktiviert
1861;C1E;links, rechts;deaktiviert;aktiviert
1862;C1E;links, rechts;deaktiviert;aktiviert
1863;C1E;links, rechts;deaktiviert;aktiviert
1864;C1E;links, rechts;deaktiviert;aktiviert
1865;C1E;links, rechts;deaktiviert;aktiviert
1866;C1E;links, rechts;deaktiviert;aktiviert
1867;C1E;links, rechts;deaktiviert;aktiviert
1868;C1E;links, rechts;deaktiviert;aktiviert
1869;C1E;links, rechts;deaktiviert;aktiviert
1870;C1E;links, rechts;deaktiviert;aktiviert
1871;C1E;links, rechts;deaktiviert;aktiviert
1872;C1E;links, rechts;deaktiviert;aktiviert
1873;C1E;links, rechts;deaktiviert;aktiviert
1874;C1E;links, rechts;deaktiviert;aktiviert
1875;C1E;links, rechts;deaktiviert;aktiviert
1876;C1E;links, rechts;deaktiviert;deaktiviert
1877;C1E;links, rechts;deaktiviert;deaktiviert
1878;C1E;links, rechts;deaktiviert;deaktiviert
1879;C1E;links, rechts;deaktiviert;deaktiviert
1880;C1E;links, rechts;deaktiviert;deaktiviert
1881;C1E;links, rechts;deaktiviert;deaktiviert
1882;C1E;links, rechts;deaktiviert;deaktiviert
1883;C1E;links, rechts;deaktiviert;deaktiviert
1884;C1E;links, rechts;deaktiviert;deaktiviert
1885;C1E;links, rechts;deaktiviert;deaktiviert
1886;C1E;links, rechts;deaktiviert;deaktiviert
1887;C1E;links, rechts;deaktiviert;deaktiviert
1888;C1E;links, rechts;deaktiviert;deaktiviert
1889;C1E;links, rechts;deaktiviert;deaktiviert
1890;C1E;links, rechts;deaktiviert;deaktiviert
1891;C1E;links, rechts;deaktiviert;deaktiviert
1892;C1E;links, rechts;deaktiviert;deaktiviert
1893;C1E;links, rechts;deaktiviert;deaktiviert
1894;C1E;links, rechts;deaktiviert;deaktiviert
1895;C1E;links, rechts;deaktiviert;deaktiviert
1896;C1E;links, rechts;deaktiviert;deaktiviert
1897;C1E;links, rechts;deaktiviert;deaktiviert
1898;C1E;links, rechts;deaktiviert;deaktiviert
1899;C1E;links, rechts;deaktiviert;deaktiviert
1900;C1E;links, rechts;deaktiviert;deaktiviert
1901;C1E;rechts - halten, links;deaktiviert;deaktiviert
1902;C1E;rechts - halten, links;deaktiviert;deaktiviert
1903;C1E;rechts - halten, links;deaktiviert;deaktiviert
1904;C1E;rechts - halten, links;deaktiviert;deaktiviert
1905;C1E;rechts - halten, links;deaktiviert;deaktiviert
1906;C1E;rechts - halten, links;deaktiviert;deaktiviert
1907;C1E;rechts - halten, links;deaktiviert;deaktiviert
1908;C1E;rechts - halten, links;deaktiviert;deaktiviert
1909;C1E;rechts - halten, links;deaktiviert;deaktiviert
1910;C1E;rechts - halten, links;deaktiviert;deaktiviert
1911;C1E;rechts - halten, links;deaktiviert;deaktiviert
1912;C1E;rechts - halten, links;deaktiviert;deaktiviert
1913;C1E;rechts - halten, links;deaktiviert;deaktiviert
1914;C1E;rechts - halten, links;deaktiviert;deaktiviert
1915;C1E;rechts - halten, links;deaktiviert;deaktiviert
1916;C1E;rechts - halten, links;deaktiviert;deaktiviert
1917;C1E;rechts - halten, links;deaktiviert;deaktiviert
1918;C1E;rechts - halten, links;deaktiviert;deaktiviert
1919;C1E;rechts - halten, links;deaktiviert;deaktiviert
1920;C1E;rechts - halten, links;deaktiviert;deaktiviert
1921;C1E;rechts - halten, links;deaktiviert;deaktiviert
1922;C1E;rechts - halten, links;deaktiviert;deaktiviert
1923;C1E;rechts - halten, links;deaktiviert;deaktiviert
1924;C1E;rechts - halten, links;deaktiviert;deaktiviert
1925;C1E;rechts - halten, links;deaktiviert;deaktiviert
1926;C1E;rechts - halten, links;deaktiviert;aktiviert
1927;C1E;rechts - halten, links;deaktiviert;aktiviert
1928;C1E;rechts - halten, links;deaktiviert;aktiviert
1929;C1E;rechts - halten, links;deaktiviert;aktiviert
1930;C1E;rechts - halten, links;deaktiviert;aktiviert
1931;C1E;rechts - halten, links;deaktiviert;aktiviert
1932;C1E;rechts - halten, links;deaktiviert;aktiviert
1933;C1E;rechts - halten, links;deaktiviert;aktiviert
1934;C1E;rechts - halten, links;deaktiviert;aktiviert
1935;C1E;rechts - halten, links;deaktiviert;aktiviert
1936;C1E;rechts - halten, links;deaktiviert;aktiviert
1937;C1E;rechts - halten, links;deaktiviert;aktiviert
1938;C1E;rechts - halten, links;deaktiviert;aktiviert
1939;C1E;rechts - halten, links;deaktiviert;aktiviert
1940;C1E;rechts - halten, links;deaktiviert;aktiviert
1941;C1E;rechts - halten, links;deaktiviert;aktiviert
1942;C1E;rechts - halten, links;deaktiviert;aktiviert
1943;C1E;rechts - halten, links;deaktiviert;aktiviert
1944;C1E;rechts - halten, links;deaktiviert;aktiviert
1945;C1E;rechts - halten, links;deaktiviert;aktiviert
1946;C1E;rechts - halten, links;deaktiviert;aktiviert
1947;C1E;rechts - halten, links;deaktiviert;aktiviert
1948;C1E;rechts - halten, links;deaktiviert;aktiviert
1949;C1E;rechts - halten, links;deaktiviert;aktiviert
1950;C1E;rechts - halten, links;deaktiviert;aktiviert
1951;C1E;links - halten, rechts;deaktiviert;aktiviert
1952;C1E;links - halten, rechts;deaktiviert;aktiviert
1953;C1E;links - halten, rechts;deaktiviert;aktiviert
1954;C1E;links - halten, rechts;deaktiviert;aktiviert
1955;C1E;links - halten, rechts;deaktiviert;aktiviert
1956;C1E;links - halten, rechts;deaktiviert;aktiviert
1957;C1E;links - halten, rechts;deaktiviert;aktiviert
1958;C1E;links - halten, rechts;deaktiviert;aktiviert
1959;C1E;links - halten, rechts;deaktiviert;aktiviert
1960;C1E;links - halten, rechts;deaktiviert;aktiviert
1961;C1E;links - halten, rechts;deaktiviert;aktiviert
1962;C1E;links - halten, rechts;deaktiviert;aktiviert
1963;C1E;links - halten, rechts;deaktiviert;aktiviert
1964;C1E;links - halten, rechts;deaktiviert;aktiviert
1965;C1E;links - halten, rechts;deaktiviert;aktiviert
1966;C1E;links - halten, rechts;deaktiviert;aktiviert
1967;C1E;links - halten, rechts;deaktiviert;aktiviert
1968;C1E;links - halten, rechts;deaktiviert;aktiviert
1969;C1E;links - halten, rechts;deaktiviert;aktiviert
1970;C1E;links - halten, rechts;deaktiviert;aktiviert
1971;C1E;links - halten, rechts;deaktiviert;aktiviert
1972;C1E;links - halten, rechts;deaktiviert;aktiviert
1973;C1E;links - halten, rechts;deaktiviert;aktiviert
1974;C1E;links - halten, rechts;deaktiviert;aktiviert
1975;C1E;links - halten, rechts;deaktiviert;aktiviert
1976;C1E;links - halten, rechts;deaktiviert;deaktiviert
1977;C1E;links - halten, rechts;deaktiviert;deaktiviert
1978;C1E;links - halten, rechts;deaktiviert;deaktiviert
1979;C1E;links - halten, rechts;deaktiviert;deaktiviert
1980;C1E;links - halten, rechts;deaktiviert;deaktiviert
1981;C1E;links - halten, rechts;deaktiviert;deaktiviert
1982;C1E;links - halten, rechts;deaktiviert;deaktiviert
1983;C1E;links - halten, rechts;deaktiviert;deaktiviert
1984;C1E;links - halten, rechts;deaktiviert;deaktiviert
1985;C1E;links - halten, rechts;deaktiviert;deaktiviert
1986;C1E;links - halten, rechts;deaktiviert;deaktiviert
1987;C1E;links - halten, rechts;deaktiviert;deaktiviert
1988;C1E;links - halten, rechts;deaktiviert;deaktiviert
1989;C1E;links - halten, rechts;deaktiviert;deaktiviert
1990;C1E;links - halten, rechts;deaktiviert;deaktiviert
1991;C1E;links - halten, rechts;deaktiviert;deaktiviert
1992;C1E;links - halten, rechts;deaktiviert;deaktiviert
1993;C1E;links - halten, rechts;deaktiviert;deaktiviert
1994;C1E;links - halten, rechts;deaktiviert;deaktiviert
1995;C1E;links - halten, rechts;deaktiviert;deaktiviert
1996;C1E;links - halten, rechts;deaktiviert;deaktiviert
1997;C1E;links - halten, rechts;deaktiviert;deaktiviert
