ID;VR;PNC01-Drehmoment;PNC03-Drehmoment;PNC05-Drehmoment;PresseSpindel1-Drehmoment;PresseSpindel2-Drehmoment;PNC01-Weg;PNC03-Weg;PNC05-Weg;L1;L2;L3;L4;L5;a1;a2;a3;a4;R1;R2;R3;R4
688;28;5,01;4,37;12,74;91,1;122,1;34,021;;;18,13446022;10,24408669;25,05616571;5,750379275;17,24165754;125,6989243;120,6886794;96,82871462;97,54655476;3,683010876;2,207618484;2,62420489;3,44190234
689;28;5,05;4,25;13,05;91,3;122,5;34,02;;;17,95693334;10,32832465;25,20121749;5,927522966;17,37568202;125,2726321;120,7266125;97,24176302;98,11675357;3,726524158;2,082499034;2,478761997;3,425390236
690;28;5,1;4,32;12,99;91,2;122,1;34,02;;;18,01220307;10,31548089;25,16802622;5,921710692;17,49271912;125,6120355;120,8577838;97,22940314;98,05026887;3,694554358;2,053216074;2,529986809;3,410800905
691;28;5,2;4,36;13,22;90,7;122,1;34,021;;;18,14269087;10,38620998;25,09400133;5,879859892;17,38466853;126,0233779;121,0090343;97,01206402;97,96009891;3,688024531;2,074425664;2,61004936;3,316607609
692;28;5,22;4,37;13,24;91,1;121,8;34,02;;;17,94576701;10,27823664;25,09649384;5,783155101;17,31469365;125,4846813;120,7835676;97,08313388;97,91785744;3,692757438;2,215114257;2,638114082;3,361179081
693;28;5,09;4,32;12,91;90,9;122,1;34,02;;;17,94113887;10,27492309;25,20884694;6,163292361;17,29150857;125,4788677;121,0466998;97,53149276;98,2949298;3,779654893;2,020023948;2,449804452;3,372213395
694;28;5,11;4,31;12,18;91,4;121,6;34,02;;;18,011889;10,2769241;25,29564137;5,882183232;17,38009403;125,5618658;120,8396979;96,84517576;97,29444239;3,699092883;2,043756523;2,53544309;3,428698112
695;28;5,07;4,36;11,74;90,9;121,6;34,021;;;18,07837363;10,24468185;25,25313128;5,736430825;17,47171399;125,4229824;120,5993827;96,73367372;97,14195099;3,726822597;2,077079407;2,556609147;3,421852837
696;28;4,91;4,46;12,23;91,1;121,6;34,021;;;18,07938229;10,19127456;24,89226628;6,020741044;17,31852555;125,7931351;120,96348;97,6387001;98,4213826;3,755899076;2,351846684;2,641349501;3,331818912
697;28;5,13;4,34;12,62;91;122,3;34,021;;;18,06569624;10,31997034;25,09295158;5,975637612;17,37033946;125,8529435;120,9819151;97,00908902;97,75668517;3,672021573;2,051882041;2,578389068;3,302524666
698;28;5,16;4,29;12,83;91,8;122,6;34,02;;;;;;;;;;;;;;;
699;28;5,04;4,34;12,73;91,6;122,8;34,021;;;;;;;;;;;;;;;
700;28;5;4,31;12,77;92,3;123;34,02;;;;;;;;;;;;;;;
701;29;;;;;;;34,02;;17,96771537;10,2782208;25,1516406;5,873247068;17,41472088;125,5417193;120,913768;97,24563961;98,26407653;3,669246841;2,16727095;2,570539162;3,394648654
702;29;5,15;4,27;11,07;;122,2;;34,019;;17,94941508;10,27428834;25,22572583;5,910232769;17,2985224;125,4549335;120,7422291;97,37898386;97,83215949;3,693003278;2,133393552;2,497501804;3,39446857
703;29;5,31;4,37;10,74;92;121,8;;34,02;51,03;17,94878256;10,12916788;25,07815681;5,852826473;17,26337013;125,455961;120,6327014;97,26276192;97,91654841;3,769513945;2,20716005;2,614403512;3,408803195
704;29;5,31;4,34;10,81;91,9;122,2;;34,02;51,029;17,95127546;10,2791806;25,16032842;5,87264148;17,4323832;125,3778908;120,6970126;97,42774583;98,39708344;3,690328776;2,158347513;2,512826535;3,436849702
705;29;5,09;4,37;11,54;91,7;122,5;;34,02;51,029;18,01944127;10,3994404;25,00933075;5,659727761;17,48718708;125,9344579;121,1191892;96,79440227;97,76030997;3,562743092;2,187188736;2,69552457;3,466185798
